asset,epoch,timestamp,supply,borrow,supply_ma30,borrow_ma30
uni,1609456696,2020-12-31 23:18:16,0.0,0.0,4.524132200976e-05,0.0
uni,1609370493,2020-12-30 23:21:33,0.0,0.0,4.531747451184e-05,0.0
uni,1609282110,2020-12-29 22:48:30,0.0,0.0,4.540084781184e-05,0.0
uni,1609192273,2020-12-28 21:51:13,0.0,0.0,9.3521048688e-07,0.0
uni,1609103631,2020-12-27 21:13:51,0.0,0.0,9.37943712e-07,0.0
uni,1609004657,2020-12-26 17:44:17,0.0,0.0,2.65641004656e-06,0.0
uni,1608921655,2020-12-25 18:40:55,0.0,0.0,9.43189189488e-06,0.0
uni,1608852581,2020-12-24 23:29:41,0.0,0.0,9.35557792848e-06,0.0
uni,1608766040,2020-12-23 23:27:20,0.0,0.0,1.102504993344e-05,0.0
uni,1608675906,2020-12-22 22:25:06,0.0,0.0,1.030080834864e-05,0.0
uni,1608577920,2020-12-21 19:12:00,0.0,0.0,1.03629251232e-05,0.0
uni,1608501698,2020-12-20 22:01:38,0.0,0.0,1.029740214528e-05,0.0
uni,1608406788,2020-12-19 19:39:48,0.0,0.0,1.03521476952e-05,0.0
uni,1608327122,2020-12-18 21:32:02,0.0,0.0,1.032661804176e-05,0.0
uni,1608234020,2020-12-17 19:40:20,0.0,0.0,1.032866851248e-05,0.0
uni,1608153899,2020-12-16 21:24:59,0.0,0.0,1.031068668528e-05,0.0
uni,1608048962,2020-12-15 16:16:02,0.0,0.0,1.037895392592e-05,0.0
uni,1607988946,2020-12-14 23:35:46,0.0,0.0,1.214426257344e-05,0.0
uni,1607869788,2020-12-13 14:29:48,0.0,0.0,1.230141907584e-05,0.0
uni,1607813330,2020-12-12 22:48:50,0.0,0.0,1.214724430224e-05,0.0
uni,1607728039,2020-12-11 23:07:19,0.0,0.0,1.210975209792e-05,0.0
uni,1607624694,2020-12-10 18:24:54,0.0,0.0,1.222314293952e-05,0.0
uni,1607556625,2020-12-09 23:30:25,0.0,0.0,1.2131686332e-05,0.0
uni,1607470265,2020-12-08 23:31:05,0.0,0.0,1.264867584768e-05,0.0
uni,1607376436,2020-12-07 21:27:16,0.0,0.0,1.323156551184e-05,0.0
uni,1607297190,2020-12-06 23:26:30,0.0,0.0,1.323258727824e-05,0.0
uni,1607209597,2020-12-05 23:06:37,0.0,0.0,1.651267407456e-05,0.0
uni,1607119368,2020-12-04 22:02:48,0.0,0.0,1.656892546848e-05,0.0
uni,1607036078,2020-12-03 22:54:38,0.0,0.0,1.64344282128e-05,0.0
uni,1606951616,2020-12-02 23:26:56,0.0,0.0,1.64488827384e-05,0.0
uni,1606859736,2020-12-01 21:55:36,0.0,0.0,1.642170091392e-05,0.0
uni,1606777897,2020-11-30 23:11:37,0.0,0.0,1.640269132848e-05,0.0
uni,1606694275,2020-11-29 23:57:55,0.0,0.0,1.644380575776e-05,0.0
uni,1606602392,2020-11-28 22:26:32,0.0,0.0,1.64639222568e-05,0.0
uni,1606521297,2020-11-27 23:54:57,0.0,0.0,1.643790158784e-05,0.0
uni,1606432532,2020-11-26 23:15:32,0.0,0.0,1.474396363872e-05,0.0
uni,1606345228,2020-11-25 23:00:28,0.0,0.0,8.01355083408e-06,0.0
uni,1606255138,2020-11-24 21:58:58,0.0,0.0,0.0,0.0
uni,1606172763,2020-11-23 23:06:03,0.0,0.0,0.0,0.0
uni,1606085200,2020-11-22 22:46:40,0.0,0.0,0.0,0.0
uni,1606002743,2020-11-21 23:52:23,0.0,0.0,0.0,0.0
uni,1605910135,2020-11-20 22:08:55,0.0,0.0,0.0,0.0
uni,1605828930,2020-11-19 23:35:30,0.0,0.0,0.0,0.0
uni,1605742891,2020-11-18 23:41:31,0.0,0.0,0.0,0.0
uni,1605650302,2020-11-17 21:58:22,0.0,0.0,0.0,0.0
uni,1605565675,2020-11-16 22:27:55,0.0,0.0,0.0,0.0
uni,1605477762,2020-11-15 22:02:42,0.0,0.0,0.0,0.0
uni,1605397888,2020-11-14 23:51:28,0.0,0.0,0.0,0.0
