epoch,timestamp,open,high,low,close,volume,usd_volume,trades
1581321600,2020-02-10 08:00:00,25.070,25.907,24.780,25.053,302773.53,7703234.67716,6617
1581325200,2020-02-10 09:00:00,25.054,25.054,24.100,24.650,93888.13,2305673.24840,3077
1581328800,2020-02-10 10:00:00,24.653,24.898,24.031,24.816,93315.40,2283936.47120,2909
1581332400,2020-02-10 11:00:00,24.819,24.890,24.262,24.555,76560.51,1876227.39948,2239
1581336000,2020-02-10 12:00:00,24.554,25.079,24.380,24.907,84379.44,2086423.47745,2360
1581339600,2020-02-10 13:00:00,24.893,25.401,24.891,25.048,134892.72,3389155.25738,3746
1581343200,2020-02-10 14:00:00,25.047,25.200,24.700,24.899,97969.95,2444097.30494,2365
1581346800,2020-02-10 15:00:00,24.894,25.295,24.889,25.113,84963.91,2135756.84881,1903
1581350400,2020-02-10 16:00:00,25.105,25.550,25.105,25.230,105287.17,2671489.03902,2758
1581354000,2020-02-10 17:00:00,25.230,25.500,25.066,25.464,68290.29,1723038.10852,1731
1581357600,2020-02-10 18:00:00,25.463,25.486,25.273,25.273,38779.32,985493.83538,1095
1581361200,2020-02-10 19:00:00,25.280,25.503,25.263,25.411,41983.85,1066285.16096,1309
1581364800,2020-02-10 20:00:00,25.411,25.636,25.383,25.383,40500.68,1033413.35880,1437
1581368400,2020-02-10 21:00:00,25.383,25.410,25.200,25.322,37328.05,944872.15750,1290
1581372000,2020-02-10 22:00:00,25.322,25.339,24.923,25.123,50307.18,1264023.08893,1450
1581375600,2020-02-10 23:00:00,25.123,25.462,25.123,25.189,53871.73,1363012.61890,1603
1581379200,2020-02-11 00:00:00,25.190,25.264,24.800,24.941,109972.80,2752234.42625,3250
1581382800,2020-02-11 01:00:00,24.966,25.136,24.895,24.967,56539.23,1412437.62295,1392
1581386400,2020-02-11 02:00:00,24.967,25.131,24.550,24.666,67344.62,1671518.73414,1647
1581390000,2020-02-11 03:00:00,24.666,24.890,24.479,24.722,97342.86,2400715.14057,2528
1581393600,2020-02-11 04:00:00,24.718,24.722,24.350,24.389,74331.86,1822709.96870,2103
1581397200,2020-02-11 05:00:00,24.381,24.571,24.375,24.375,58706.58,1434829.49308,1559
1581400800,2020-02-11 06:00:00,24.376,24.563,24.250,24.331,67720.00,1651757.91896,1744
1581404400,2020-02-11 07:00:00,24.330,24.560,24.280,24.530,48743.18,1190245.79690,1337
1581408000,2020-02-11 08:00:00,24.530,24.823,24.475,24.801,39530.60,971385.13252,1265
1581411600,2020-02-11 09:00:00,24.803,25.180,24.761,24.852,101457.95,2527162.09934,2275
1581415200,2020-02-11 10:00:00,24.851,25.000,24.725,24.963,58515.34,1455879.92067,1574
1581418800,2020-02-11 11:00:00,24.963,25.000,24.725,24.975,46222.80,1150557.35655,1352
1581422400,2020-02-11 12:00:00,24.974,25.332,24.952,25.145,76441.31,1924921.82425,2053
1581426000,2020-02-11 13:00:00,25.146,25.243,24.900,24.954,40260.31,1010681.41265,1302
1581429600,2020-02-11 14:00:00,24.955,25.111,24.810,24.810,54153.07,1351602.86576,1617
1581433200,2020-02-11 15:00:00,24.814,25.290,24.814,25.094,165346.19,4149686.75201,4494
1581436800,2020-02-11 16:00:00,25.081,25.250,24.825,25.117,179263.06,4492933.97344,4331
1581440400,2020-02-11 17:00:00,25.116,25.864,25.116,25.782,96331.67,2456165.90934,2296
1581444000,2020-02-11 18:00:00,25.781,25.804,25.278,25.320,111902.31,2859437.66894,2903
1581447600,2020-02-11 19:00:00,25.332,25.600,25.298,25.600,50534.59,1284835.93723,1261
1581451200,2020-02-11 20:00:00,25.599,25.641,25.395,25.527,55314.80,1412086.52935,1483
1581454800,2020-02-11 21:00:00,25.523,25.535,25.266,25.366,48172.78,1223305.81354,1556
1581458400,2020-02-11 22:00:00,25.358,25.550,25.305,25.549,39243.87,998623.43147,1331
1581462000,2020-02-11 23:00:00,25.543,25.750,25.541,25.705,39670.21,1017072.46469,1575
1581465600,2020-02-12 00:00:00,25.705,25.977,25.605,25.890,48412.22,1247905.71285,2313
1581469200,2020-02-12 01:00:00,25.885,25.921,25.666,25.671,64186.60,1655938.13279,2070
1581472800,2020-02-12 02:00:00,25.671,25.678,25.347,25.605,62934.09,1606684.57211,2206
1581476400,2020-02-12 03:00:00,25.628,25.693,25.491,25.626,39675.94,1016087.20703,1359
1581480000,2020-02-12 04:00:00,25.626,25.817,25.626,25.723,52496.77,1350469.76928,2278
1581483600,2020-02-12 05:00:00,25.721,25.727,25.550,25.689,42947.26,1100721.75025,1363
1581487200,2020-02-12 06:00:00,25.684,25.685,25.500,25.568,35460.31,907542.06517,1449
